???????,???????,Name,???????????,
4801,???????????,Muang nakhon phanom,nakhon phanom,
4802,??????,Pla pak,nakhon phanom,
4803,????????,Tha uthen,nakhon phanom,
4804,???????,Ban phaeng,nakhon phanom,
4805,???????,That phanom,nakhon phanom,
4806,???????,Ranu nakhon,nakhon phanom,
4807,????,Na kae,nakhon phanom,
4808,?????????,Si songkhram,nakhon phanom,
4809,??????,Na wa,nakhon phanom,
4810,?????????,Phon sawan,nakhon phanom,
4811,????,Na thom,nakhon phanom,
4812,??????,Wong yang,nakhon phanom,
4901,?????????????,Muang mukdahan,mukdahan,
4902,???????????,Nikhom kham soi,mukdahan,
4903,??????,Don tan,mukdahan,
4904,??????,Dong luang,mukdahan,
4905,??????,Khamcha-i,mukdahan,
4906,?????????,Wan yai,mukdahan,
4907,???????,Nong sung,mukdahan,
5001,??????????????,Muang chiang mai,Chiang mai,
5002,??????,chom thaon,Chiang mai,
5003,???????,Mae chaem,Chiang mai,
5004,????????,Chiang dao,Chiang mai,
5005,?????????,Doi saket,Chiang mai,
5006,??????,Mae taeng,Chiang mai,
5007,??????,Mae rim,Chiang mai,
5008,??????,Samoeng,Chiang mai,
5009,???,Fang,Chiang mai,
5010,??????,Mae ai,Chiang mai,
5011,?????,Phrao,Chiang mai,
5012,?????????,San pa tong,Chiang mai,
5013,????????,Sankamphaeng,Chiang mai,
5014,???????,San sai,Chiang mai,
5015,?????,Hang dong,Chiang mai,
5016,???,Hot,Chiang mai,
5017,???????,Doi tao,Chiang mai,
5018,??????,Omkoi,Chiang mai,
5019,?????,Saraphi,Chiang mai,
5020,????????,Wiang haeng,Chiang mai,
5021,?????????,Chai prakan,Chiang mai,
5022,??????,Mae wang,Chiang mai,
5023,??????,Mae on,Chiang mai,
5024,???????,Doi lo,Chiang mai,
5101,??????????,Muang lamphun,lamphun,
5102,?????,Mea ta,lamphun,
5103,????????,Ban hong,lamphun,
5104,???,Li,lamphun,
5105,???????????,Thung hua chang,lamphun,
5106,??????,Pa sang,lamphun,
5107,??????,Ban thi,lamphun,
5108,?????????????,Wiang Nong Long,lamphun,
5201,??????????,Muang lampang,lampang,
5202,???????,Mea mo,lampang,
5203,??????,Ko kha,lampang,
5204,????????,Some ngam,lampang,
5205,???,Nhao,lampang,
5206,??????,Chae hom,lampang,
5207,????????,Wang nua,lampang,
5208,????,Thoen,lampang,
5209,???????,Mea phrik,lampang,
5210,?????,Mea tha,lampang,
5211,??????,Sop prap,lampang,
5212,????????,Hang Chat,lampang,
5213,????????,Muang pan,lampang,
5301,??????????????,Muang uttaradit,uttaradit,
5302,????,Tron,uttaradit,
5303,??????,Tha pla,uttaradit,
5304,??????,Nam pat,uttaradit,
5305,??????,Pak tha,uttaradit,
5306,???????,Ban khok,uttaradit,
5307,?????,Phichai,uttaradit,
5308,?????,laplae,uttaradit,
5309,?????????,Thong saen khan,uttaradit,
5401,?????????,Muangphrae,Phrae,
5402,????????,Rong kwang,Phrae,
5403,???,Long,Phrae,
5404,???????,Sung men,Phrae,
5405,???????,Den chai,Phrae,
5406,???,Song,Phrae,
5407,???????,Wang chin,Phrae,
5408,???????????,Nong muang kai,Phrae,
5501,?????????,Muang nan,nan,
5502,???????,Mae chrim,nan,
5503,????????,Ban luang,nan,
5504,??????,na noi,nan,
5505,???,Pua,nan,
5506,????????,Tha wang pha,nan,
5507,???????,Wiang sa,nan,
5508,????????,Thung chang,nan,
5509,?????????,Cheang klang,nan,
5510,???????,Na mun,nan,
5511,????????,Suntisuk,nan,
5512,????????,Bo kluai,nan,
5513,??????,Song kwar,nan,
5514,???????,Phu pieng,nan,
5515,???????????????,Chaloem phrakiat,nan,
5601,??????????,Muang Phayao,Phayao,
5602,???,Chun,Phayao,
5603,???????,Chiang kham,Phayao,
5604,?????????,Chiang muan,Phayao,
5605,????????,Dok kham tai,Phayao,
5606,??,Pong,Phayao,
5607,?????,Mae chai,Phayao,
5608,?????,Phu sang,Phayao,
5609,????????,Phu kam yao,Phayao,
5701,?????????????,Muang chiang rai,Chiang rai,
5702,????????,Wiang chai,Chiang rai,
5703,????????,Chiang khong,Chiang rai,
5704,????,Thoeng,Chiang rai,
5705,???,Phan,Chiang rai,
5706,??????,Pa daet,Chiang rai,
5707,??????,Mae chan,Chiang rai,
5708,????????,Chiang saen,Chiang rai,
5709,??????,Mae sai,Chiang rai,
5710,???????,Mae suai,Chiang rai,
5711,????????????,Wiang pa pao,Chiang rai,
5712,??????????,Phaya mengrai,Chiang rai,
5713,?????????,Wiang Kaen,Chiang rai,
5714,??????,Khun tan,Chiang rai,
5715,??????????,Mae fa luang,Chiang rai,
5716,??????,Mae lao,Chiang rai,
5717,??????????????,Wiang chiang rung,Chiang rai,
5718,???????,Doi Luang,Chiang rai,
5801,???????????????,Muang mae hong son,mae hong son,
5802,??????,Khun yuam,mae hong son,
5803,???,Pai,mae hong son,
5804,??????????,Mae sariang,mae hong son,
5805,?????????,Mae la noi,mae hong son,
5806,?????,Sop moei,mae hong son,
5807,????????,Pang mapha,mae hong son,
6001,??????????????,Muang nakhon sawan,nakhon sawan,
6002,???????,Krok phra,nakhon sawan,
6003,??????,Chumsaeng,nakhon sawan,
6004,???????,Nong bua,nakhon sawan,
6005,??????????,Banphot phisai,nakhon sawan,
6006,??????????,Kao lieo,nakhon sawan,
6007,?????,Takeli,nakhon sawan,
6008,???????,Tha tako,nakhon sawan,
6009,??????,Phai Sali,nakhon sawan,
6010,????????,Phayuha khiri,nakhon sawan,
6011,??????,Lao yao,nakhon sawan,
6012,??????,Tak fa,nakhon sawan,
6013,???????,Mae wong,nakhon sawan,
6014,???????,Mae Poen,nakhon sawan,
6015,???????,Chum ta bong,nakhon sawan,
6101,??????????????,Muang uthaithani,uthaithani,
6102,??????,Thap than,uthaithani,
6103,???????????,Sawang arom,uthaithani,
6104,???????,Nong chang,uthaithani,
6105,???????????,Nong khayang,uthaithani,
6106,???????,Ban rai,uthaithani,
6107,??????,Lan sak,uthaithani,
6108,??????,Huai khot,uthaithani,
6201,??????????????,Muang kamphaeng phet,Kamphaeng phet,
6202,??????,Sai ngam,Kamphaeng phet,
6203,???????,Khlong lan,Kamphaeng phet,
6204,??????????????,Khanu waralaksaburi,Kamphaeng phet,
6205,????????,Khlong khlung,Kamphaeng phet,
6206,???????????,Phran kratai,Kamphaeng phet,
6207,?????????,Lan krabu,Kamphaeng phet,
6208,????????????,Saithong wattana,Kamphaeng phet,
6209,??????????,Pang silathong,Kamphaeng phet,
6210,??????????,Bueng Samakkhi,Kamphaeng phet,
6211,??????????,Kosamphi Nakhon,Kamphaeng phet,
6301,????????,Muang tak,tak,
6302,???????,Ban Tak,tak,
6303,??????,Sam ngao,tak,
6304,????????,Mae ramat,tak,
6305,?????????,Tha song yang,tak,
6306,??????,Mae sot,tak,
6307,?????,Prop phra,tak,
6308,???????,Um phang,tak,
6309,???????,Wang jao,tak,
6401,????????????,Muang sukhothai,sukhothai,
6402,??????????????,Ban dan lan hoi,sukhothai,
6403,???????,Khiri mat,sukhothai,
6404,????????,Kong kralilat,sukhothai,
6405,???????????,Satchanalai,sukhothai,
6406,????????,Si samrong,sukhothai,
6407,????????,Sawan khalok,sukhothai,
6408,??????,Si nakhon,sukhothai,
6409,???????????,Thung saliam,sukhothai,
6501,?????????????,Muang phitsanulok,phitsanulok,
6502,??????,Nakhon thai,phitsanulok,
6503,??????????,Chat trakan,phitsanulok,
6504,???????,Bangrakam,phitsanulok,
6505,??????????,Bangkrathum,phitsanulok,
6506,?????????,Phrom phiram,phitsanulok,
